Variable,Transform,ADF stat,ADF p,ADF lags,ADF conclusion,KPSS stat,KPSS p,KPSS lags,KPSS conclusion
pr_admissions_national,Level,-2.629,0.0872,4,Non-stat,0.946,0.01,6,Non-stat
pr_admissions_national,1st Diff,-6.009,0.0,3,I(0),0.125,0.1,15,I(0)
gdp_real_millions,Level,-0.666,0.8555,4,Non-stat,1.798,0.01,6,Non-stat
gdp_real_millions,1st Diff,-7.221,0.0,3,I(0),0.031,0.1,3,I(0)
employment_thousands,Level,-0.563,0.8791,4,Non-stat,1.69,0.01,6,Non-stat
employment_thousands,1st Diff,-7.385,0.0,3,I(0),0.037,0.1,2,I(0)
unemployment_rate,Level,-2.783,0.0607,2,Non-stat,0.129,0.1,6,I(0)
unemployment_rate,1st Diff,-8.695,0.0,1,I(0),0.03,0.1,2,I(0)
hours_worked_millions,Level,-1.933,0.3167,2,Non-stat,1.344,0.01,6,Non-stat
hours_worked_millions,1st Diff,-9.415,0.0,1,I(0),0.025,0.1,1,I(0)
hours_worked_millions,Level,-1.933,0.3167,2,Non-stat,1.344,0.01,6,Non-stat
hours_worked_millions,1st Diff,-9.415,0.0,1,I(0),0.025,0.1,1,I(0)
employment_rate,Level,-2.802,0.0579,4,Non-stat,0.101,0.1,6,I(0)
employment_rate,1st Diff,-7.406,0.0,3,I(0),0.022,0.1,2,I(0)
participation_rate,Level,-3.437,0.0098,4,I(0),0.399,0.0778,5,I(0)
participation_rate,1st Diff,-8.021,0.0,3,I(0),0.039,0.1,9,I(0)
prime_rate,Level,-1.859,0.3516,3,Non-stat,1.057,0.01,6,Non-stat
prime_rate,1st Diff,-3.36,0.0124,2,I(0),0.132,0.1,5,I(0)
cpi_all_items,Level,-0.37,0.9151,12,Non-stat,1.908,0.01,6,Non-stat
cpi_all_items,1st Diff,-1.705,0.4284,11,Non-stat,0.283,0.1,2,I(0)
