Outcome,Lag (months),F-stat,p-value,Significant
gdp_real_millions,1,0.125,0.7247,No
gdp_real_millions,2,0.424,0.6551,No
gdp_real_millions,3,0.402,0.752,No
gdp_real_millions,4,1.347,0.2566,No
gdp_real_millions,5,1.103,0.3629,No
gdp_real_millions,6,0.951,0.4621,No
gdp_real_millions,7,0.801,0.5879,No
gdp_real_millions,8,0.864,0.5494,No
gdp_real_millions,9,0.744,0.6674,No
gdp_real_millions,10,0.726,0.6982,No
gdp_real_millions,11,0.688,0.7466,No
gdp_real_millions,12,0.619,0.821,No
employment_thousands,1,0.042,0.8383,No
employment_thousands,2,0.414,0.6617,No
employment_thousands,3,0.148,0.9307,No
employment_thousands,4,0.446,0.7754,No
employment_thousands,5,0.921,0.4701,No
employment_thousands,6,0.64,0.6982,No
employment_thousands,7,0.616,0.742,No
employment_thousands,8,0.67,0.7172,No
employment_thousands,9,0.694,0.7126,No
employment_thousands,10,0.723,0.7016,No
employment_thousands,11,0.71,0.7261,No
employment_thousands,12,0.657,0.7877,No
unemployment_rate,1,0.644,0.4239,No
unemployment_rate,2,0.176,0.8389,No
unemployment_rate,3,0.143,0.934,No
unemployment_rate,4,0.498,0.7373,No
unemployment_rate,5,0.625,0.6813,No
unemployment_rate,6,0.614,0.7185,No
unemployment_rate,7,0.552,0.7932,No
unemployment_rate,8,0.809,0.5957,No
unemployment_rate,9,0.749,0.6631,No
unemployment_rate,10,0.79,0.6383,No
unemployment_rate,11,0.675,0.7593,No
unemployment_rate,12,0.607,0.8314,No
hours_worked_millions,1,0.001,0.9699,No
hours_worked_millions,2,0.207,0.8129,No
hours_worked_millions,3,0.225,0.8785,No
hours_worked_millions,4,0.376,0.8252,No
hours_worked_millions,5,0.569,0.7236,No
hours_worked_millions,6,0.486,0.8178,No
hours_worked_millions,7,0.426,0.8844,No
hours_worked_millions,8,0.508,0.8482,No
hours_worked_millions,9,0.478,0.8862,No
hours_worked_millions,10,0.615,0.7977,No
hours_worked_millions,11,0.588,0.8344,No
hours_worked_millions,12,0.782,0.6677,No
employment_rate,1,0.017,0.8965,No
employment_rate,2,0.443,0.6431,No
employment_rate,3,0.177,0.912,No
employment_rate,4,0.337,0.8526,No
employment_rate,5,0.956,0.4478,No
employment_rate,6,0.682,0.6648,No
employment_rate,7,0.647,0.7162,No
employment_rate,8,0.649,0.7345,No
employment_rate,9,0.66,0.7433,No
employment_rate,10,0.696,0.7263,No
employment_rate,11,0.666,0.767,No
employment_rate,12,0.626,0.8156,No
participation_rate,1,0.07,0.7919,No
participation_rate,2,0.467,0.628,No
participation_rate,3,0.338,0.7975,No
participation_rate,4,0.46,0.765,No
participation_rate,5,0.78,0.5661,No
participation_rate,6,0.575,0.7496,No
participation_rate,7,0.524,0.8145,No
participation_rate,8,0.5,0.8536,No
participation_rate,9,0.549,0.8352,No
participation_rate,10,0.549,0.8509,No
participation_rate,11,0.598,0.8261,No
participation_rate,12,0.66,0.7853,No
