Hypothesis,Model,pr_admissions_national,time_trend,Month,covid_dummy,post_covid,prime_rate,employment_rate,participation_rate,cpi_all_items,job_vacancies,avg_offered_hourly_wage
RQ1 H1 GDP,Lasso,188.89964063620297,8756.685708076644,-28.53062358797059,-179.72567606229217,-21.79677358292143,-699.3270288045987,2513.455792723647,-400.2325009598086,1999.0917279464127,-915.4208164485493,1678.7631740019144
RQ1 H1 GDP,Ridge,193.71189502682682,8806.951238353531,-36.218302070605866,-188.3658849465859,-17.419381800345842,-737.1001147515278,2559.342716398751,-435.7651603931971,2036.9777869322581,-956.4345164674721,1621.32121516511
RQ1 H1 GDP,ElasticNet,196.78655769704767,8519.199047825736,-15.57291548104945,-181.14138003807057,-9.1259645089259,-722.7468191533079,2547.276925409437,-428.66317464848566,2007.1840094969677,-897.938132231127,1897.759772487543
RQ2 H2 Employment,Lasso,13.737373584257517,592.7068791311749,15.452230823622182,6.266087743936427,0.7100789173205484,-60.151172938221514,221.23320674052496,17.209423260670313,528.767960022267,-186.5751420927871,83.7430088303704
RQ2 H2 Employment,Ridge,13.893120621543655,593.2555987437116,15.526861876749631,6.2922741228756625,0.7196071586214663,-60.28313936716021,221.392191439254,17.229263066258692,527.7698056960181,-186.74189039255648,84.32010974746204
RQ2 H2 Employment,ElasticNet,14.489649768474509,586.5586573920154,16.342861148176326,6.303555414096208,0.41328980814293415,-59.21417839777342,220.63634726515355,17.651680224829047,520.3878260175644,-184.40768217511194,96.19175727411941
RQ3 H3 Unemployment,Lasso,0.013546229239935379,0.04913890578714192,-0.00012956350949943704,-0.006384560681723429,-0.0045186008044066,-0.008610547633240576,-1.1394068943871132,0.4552085250717137,-0.0,-0.026635765408231264,-0.04414729089113211
RQ3 H3 Unemployment,Ridge,0.01433664069297951,0.10478360886547348,-0.00450675043474797,-0.007715918051141433,-0.007906802236409454,-0.010679062871103928,-1.1415613650883056,0.45645182575549065,0.009921818024902674,-0.03675182379358571,-0.10293699288866416
RQ3 H3 Unemployment,ElasticNet,0.01368462811774593,0.05438361472852149,-0.0004970225777890655,-0.006557161505192592,-0.004836449158942571,-0.00876074906543863,-1.1394462028809604,0.45517257817752427,-0.0,-0.027568280633759615,-0.0489216075039921
RQ4 H4 Labour Productivity,Lasso,-0.18357471184476015,3.2178000546211405,-0.032759012536216325,0.6511932832994036,-0.4117915021368549,0.03964069673594,-0.9453809387495611,0.5932451879343313,-2.551152781251609,1.1021030908730556,0.012827219417343542
RQ4 H4 Labour Productivity,Ridge,-0.18164434288416595,3.2159050275924446,-0.03155222826993912,0.6511321950867036,-0.41380296165861136,0.0459557259008823,-0.9494980835668059,0.5959395063135032,-2.5756333517284404,1.108985773916701,0.030073894336099586
RQ4 H4 Labour Productivity,ElasticNet,-0.18416712288291698,3.2086407997415884,-0.03234575265951376,0.6515663766486605,-0.41103338442717596,0.03895086168428242,-0.9449860371059923,0.5932475518738762,-2.547258868292464,1.1031265493884421,0.018224258056697785
RQ5 H5 Hours Worked,Lasso,1566.6606445929565,51859.164548630426,867.8551761271276,-8835.267441123638,10548.281586448944,-9932.996003852417,44285.83592518169,7957.523667763409,93572.19967619427,-33004.847722239516,14207.455027307777
RQ5 H5 Hours Worked,Ridge,2972.328017735308,47958.738755739134,1989.846667776937,-9015.315349915953,9723.727855825968,-8679.122251123088,43246.90865716757,8765.768076317592,79604.30474698104,-30529.049608124795,29385.210056120424
RQ5 H5 Hours Worked,ElasticNet,7028.497979474841,43637.91637979874,3700.473044374934,-9654.030700257723,4380.794909944688,2683.883530323343,31769.923908272343,11395.343704812001,47558.65108373548,-19542.0391235842,48158.55873971228
