Province,Cluster,pr_admissions,unemployment_rate,employment_rate,participation_rate,pr_monthly_growth
Alberta,0,3877.2727272727275,7.429545454545455,65.41893939393938,70.6560606060606,8.957334349057938
British Columbia,0,4175.416666666667,5.8553030303030305,61.58939393939394,65.41590909090908,19.6856688911731
Manitoba,0,1484.0151515151515,5.792424242424243,63.250757575757575,67.14015151515152,5.68459664080395
New Brunswick,1,589.9621212121212,8.368939393939394,56.19242424242424,61.324999999999996,7.4001059205960775
Newfoundland and Labrador,1,226.18320610687022,12.418181818181818,51.39696969696969,58.68484848484848,3.4359033268835413
Nova Scotia,1,664.0909090909091,7.818181818181818,56.88106060606061,61.70378787878788,6.232383526477541
Ontario,2,12620.34090909091,6.7719696969696965,60.69242424242424,65.0848484848485,70.63284947274497
Prince Edward Island,1,202.99242424242425,9.287121212121212,60.208333333333336,66.38030303030304,1.0085806118349303
Quebec,0,4264.810606060606,6.018939393939394,60.85530303030303,64.74015151515152,8.16967383761276
Saskatchewan,0,1332.7272727272727,5.870454545454545,64.28484848484848,68.2901515151515,4.821552493308212
